Advertiser Id,Campaign ID,Pricing Type,RO ID,Impressions,Clicks,Budget Consumed,PDP Views,PLP Views,Add to Cart,Add to Wishlist,Attributed Revenue,Direct Revenue,Indirect Revenue,Direct Quantity,Indirect Quantity,Total Quantity,ROI,Campaign Name,Campaign Start Date,Campaign End Date,Campaign Status,Campaign Budget in Currency,Business Unit,Advertiser Name,Business Account Id,Business Account Name,Self Serve Flag,Entity Details Flag,Brand Code,Brand Name
MYPLJJFK3EBWQD,MYW0TCVX6TDFCP,VCPM,MYUF1BBAURN1SN,52400,1964,15976.0,0,0,0.0,0.0,340.0,0.0,340.0,0.0,0.0,0.0,0.0213,CMP-TRESEMME-HOCMPSALE-MARCH-14,Thu Mar 14 00:00:00 IST 2024,Sun Mar 17 23:59:59 IST 2024,ENDED,20000.0,Home Furnishing,Tresemme_Personal Care_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,7193,TRESemme
MYRBN3UBJUVJH9,MYGCDKQARNOXFF,VCPM,MYV91SPW86DOL0,10528,434,1899.9,0,0,0.0,0.0,1937.0,0.0,1937.0,0.0,0.0,0.0,1.0195,Invictus_19th March_vCPM_TEST,Tue Mar 19 00:00:00 IST 2024,Sun Mar 31 23:59:59 IST 2024,PAUSED,10000.0,Women's Western Wear,Invictus_MFB_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,7659,INVICTUS
MYZ6PPL7LKYV81,MYJ2AMIUIL016Z,BPVS,MYVKG1KQPHY1S7,43409,2401,0.0,0,0,0.0,0.0,48665.0,46573.0,2092.0,46.0,0.0,46.0,0.0,Wrogn_11th March_BPVS_TEST,Mon Mar 11 00:00:00 IST 2024,Sun Mar 31 23:59:59 IST 2024,ABORTED,100000.0,Men's Casual Wear,Wrogn_MFB_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,8626,WROGN
MYPMYW8SQFQ963,MYDABVBH9PEHVJ,VCPM,MYVYJIQI7GJNI2,130120,216,38915.5,0,0,0.0,0.0,7496.0,7496.0,0.0,4.0,0.0,4.0,0.1926,CM-RARE RABBIT-Gold-vCPM,Wed Mar 13 00:00:00 IST 2024,Sun Mar 31 23:59:59 IST 2024,ABORTED,50000.0,Men's Casual Wear,Rare Rabbit_Men's Casaul Wear_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,22491,RARE RABBIT
MYDU5KNHEN2AYJ,MYR2S9G2RPY8JP,BPVS,MYWDYC0IUK0SO3,1008,54,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jockey_Test_21st_March_BPVS,Wed Mar 20 00:00:00 IST 2024,Sun Mar 31 23:59:59 IST 2024,LIVE,10000.0,Men's Essentials,Jockey_Men's Essentials_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,1330,Jockey
MYQBSHXNO3OFSR,MY0YXJZY1H3KO9,VCPM,MYXTTITJ32WGNJ,479337,845,50551.100000005055,0,0,0.0,0.0,23219.0,23219.0,0.0,25.0,0.0,25.0,0.4593,Snitch_13th March_vCPM_TEST_1,Wed Mar 13 00:00:00 IST 2024,Sun Mar 31 23:59:59 IST 2024,BUDGET_MET,50000.0,Men's Casual Wear,Snitch_Men's Casaul Wear_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,83714,Snitch
MYZ513WRF5PGVP,MY9NX9AAT24NUG,VCPM,MYXU96DUK6RYNU,306231,2455,33417.69999999997,0,0,0.0,0.0,49904.0,0.0,49904.0,0.0,0.0,0.0,1.4933,CMP-Dream Weaverz-Mar18,Tue Mar 19 00:00:00 IST 2024,Sun Mar 31 23:59:59 IST 2024,LIVE,50000.0,Home Furnishing,Dream Weaverz_Home Furnishing_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,66608,DREAM WEAVERZ
MYG9LS6W1UA374,MYO56SHB8IR86E,BPVS,MYZ45JJSSXH0V5,5911,420,0.0,0,0,0.0,0.0,9738.0,9738.0,0.0,9.0,0.0,9.0,0.0,JacknJones_Test_26th_March_BPVS,Tue Mar 26 00:00:00 IST 2024,Tue Apr 30 23:59:59 IST 2024,LIVE,200000.0,Men's Casual Wear,Jack & Jones_Men's Casaul Wear_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,1192,Jack & Jones
MYZ6PPL7LKYV81,MYMXBQVNJ55HV8,VCPM,MYZDKBT63Q3OG5,2766,175,516.15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WROGN_Test_23rd_March_vCPM,Sat Mar 23 00:00:00 IST 2024,Tue Apr 30 23:59:59 IST 2024,PAUSED,400000.0,Men's Casual Wear,Wrogn_MFB_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,8626,WROGN
MYZ6PPL7LKYV81,MYVLH4QYYZM7Y3,BPVS,MYZDKBT63Q3OG5,3226,321,0.0,0,0,0.0,0.0,2069.0,2069.0,0.0,2.0,0.0,2.0,0.0,WROGN_Test_25th_March_BPVS,Sat Mar 23 00:00:00 IST 2024,Tue Apr 30 23:59:59 IST 2024,LIVE,200000.0,Men's Casual Wear,Wrogn_MFB_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,8626,WROGN
MYMVAJWXB07CU0,MYC6RHJH4HTCKT,VCPM,MYZZT76SU0V648,85667,2671,15832.199999999995,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dove_Test_23rd_March_vCPM,Sat Mar 23 00:00:00 IST 2024,Tue Apr 30 23:59:59 IST 2024,PAUSED,400000.0,Personal Care,Dove_Personal Care_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,6671,Dove
MYMVAJWXB07CU0,MYZLU2LO9IRYVP,BPVS,MYZZT76SU0V648,10380,57,0.0,0,0,0.0,0.0,302.0,302.0,0.0,1.0,0.0,1.0,0.0,Dove_Test_26th_March_BPVS,Sat Mar 23 00:00:00 IST 2024,Tue Apr 30 23:59:59 IST 2024,LIVE,200000.0,Personal Care,Dove_Personal Care_Dispaly UAT - Phase 1,MYUQQNLF2QA9DA,Display UAT - Phase 1,Managed,na,6671,Dove
